chronic,Drinking,cancer,EP,visability,FFMC,DMC,DC,ISI
25.36,1008.05,100.16,442.21,81.56,86.2,26.2,94.3,5.1
25.36,1007.45,100.15,471.12,80.25,90.6,35.4,669.1,6.7
25.36,1013.32,100.15,465.86,80.18,90.6,43.7,686.9,6.7
25.36,1012.99,100.15,473.66,80.18,91.7,33.3,77.5,9
25.36,1013.45,100.14,471.23,80.18,89.3,51.3,102.2,9.6
25.36,1020.11,100.13,457.98,80.18,92.3,85.3,488,14.7
25.36,1012.28,100.13,440.74,80.18,92.3,88.9,495.6,8.5
25.88,1017.63,100.13,439.14,79.74,91.5,145.4,608.2,10.7
25.88,1013.65,100.13,456.08,79.74,91,129.5,692.6,7
25.88,1018.2,100.13,470.85,79.74,92.5,88,698.6,7.1
25.88,1016.27,100.13,482.09,79.74,92.5,88,698.6,7.1
25.88,1006.19,100.13,464.7,79.74,92.8,73.2,713,22.6
25.88,1021.34,100.12,460.7,79.74,63.5,70.8,665.3,0.8
34.03,1005.75,100.12,436.75,79.74,90.9,126.5,686.5,7
34.03,1006,100.12,437.39,79.74,92.9,133.3,699.6,9.2
34.03,1005.08,100.12,478.02,79.74,93.3,141.2,713.9,13.9
34.03,1019.1,100.11,463.11,79.74,91.7,35.8,80.8,7.8
34.03,1005.94,100.11,428.12,79.74,84.9,32.8,664.2,3
34.03,1010.29,100.11,442.84,79.74,89.2,27.9,70.8,6.3
34.03,1007.81,100.1,425.75,79.74,86.3,27.4,97.1,5.1
34.03,1021.14,100.1,453.13,79.74,91,129.5,692.6,7
34.03,1010.11,100.1,436.36,79.74,91.8,78.5,724.3,9.2
34.03,1021.39,100.1,466.52,79.74,94.3,96.3,200,56.1
34.03,1001.24,100.1,459.36,79.05,90.2,110.9,537.4,6.2
34.03,1014.16,100.1,455.55,79.05,93.5,139.4,594.2,20.3
34.03,999.48,100.09,466.83,79.05,91.4,142.4,601.4,10.6
34.69,1018.5,100.09,442.72,79.05,92.4,117.9,668,12.2
34.69,1010.88,100.09,430.19,78.92,90.9,126.5,686.5,7
34.69,1017.56,100.09,444.43,78.92,93.4,145.4,721.4,8.1
